time,amplitude,avg_temp,power
0,0,300,0
0.004,1.0006991710186,300.00000000239,9.9940526717265e-07
0.008,1.0022979683696,300.00000000718,9.997794275014e-07
0.012,1.0043482799203,300.00000001197,9.9965320100219e-07
0.016,1.0066301922921,300.00000001678,9.9953771980689e-07
0.02,1.009036368108,300.00000002159,9.9940536259068e-07
0.024,1.0115149686966,300.00000002642,9.9928181871449e-07
0.028,1.0140403139381,300.00000003126,9.9916463188917e-07
0.032,1.016600302217,300.00000003611,9.990391342484e-07
0.036,1.0191890099099,300.00000004097,9.9891325990356e-07
0.04,1.0218036627082,300.00000004585,9.9878701307301e-07
0.044,1.0244428752295,300.00000005073,9.9865481304655e-07
0.048,1.0271067201411,300.00000005563,9.9852709060667e-07
0.052,1.0297942964725,300.00000006054,9.983993467976e-07
0.056,1.0325065479679,300.00000006546,9.9827212906558e-07
0.06,1.0352428892326,300.0000000704,9.9814324128764e-07
0.064,1.0380043231646,300.00000007535,9.980157367671e-07
0.068,1.0407903985903,300.0000000803,9.9788589178411e-07
0.072,1.0436021209548,300.00000008528,9.9775691630238e-07
0.076,1.0464390796182,300.00000009026,9.9762817444236e-07
0.08,1.0493023143287,300.00000009526,9.9749783649767e-07
0.084,1.0521914229796,300.00000010027,9.9736813236797e-07
0.088,1.0551074387641,300.0000001053,9.9723788080081e-07
0.092,1.0580499887721,300.00000011033,9.9710652042813e-07
0.096,1.0610201096742,300.00000011539,9.9697523807426e-07
0.1,1.0640174459987,300.00000012045,9.9684334212309e-07
0.104,1.0670430469319,300.00000012553,9.9671107666774e-07
0.108,1.0700965644035,300.00000013062,9.9657859162961e-07
0.112,1.0731790650964,300.00000013573,9.9644580746688e-07
0.116,1.076290217948,300.00000014085,9.9631359715343e-07
0.12,1.0794310804575,300.00000014598,9.9617849183762e-07
0.124,1.0826013562654,300.00000015113,9.9604569893488e-07
0.128,1.085802104139,300.00000015629,9.9590965161147e-07
0.132,1.0890330404108,300.00000016147,9.9577594633654e-07
0.136,1.0922952655532,300.00000016666,9.9563928925622e-07
0.14,1.0955884645038,300.00000017187,9.9550469872468e-07
0.144,1.0989137973811,300.00000017709,9.9536705501357e-07
0.148,1.1022709144743,300.00000018233,9.9523188864865e-07
0.152,1.1056610415806,300.00000018759,9.9509384688048e-07
0.156,1.109083822588,300.00000019285,9.9495743772731e-07
0.16,1.1125404785986,300.00000019814,9.948185291783e-07
0.164,1.1160306965364,300.00000020344,9.9468136543505e-07
0.168,1.1195557067399,300.00000020875,9.9454168013421e-07
0.172,1.1231152177707,300.00000021409,9.9440378210948e-07
0.176,1.1267104604827,300.00000021943,9.9426306534953e-07
0.18,1.1303411847326,300.0000002248,9.9412539999953e-07
0.184,1.134008633009,300.00000023018,9.9398303655657e-07
0.188,1.1377125552813,300.00000023558,9.9384454709621e-07
0.192,1.141454214289,300.00000024099,9.9370114680038e-07
0.196,1.1452334073956,300.00000024643,9.9356178773456e-07
0.2,1.1490513977346,300.00000025188,9.9341767463966e-07
0.204,1.1529080002584,300.00000025734,9.9327756078489e-07
0.208,1.1568045129969,300.00000026283,9.9313193829346e-07
0.212,1.1607407589519,300.00000026833,9.9299160155394e-07
0.216,1.1647180618695,300.00000027385,9.9284491971431e-07
0.22,1.1687362497487,300.00000027939,9.9270389512145e-07
0.224,1.1727967041482,300.00000028494,9.925559815018e-07
0.228,1.1768992420342,300.00000029052,9.924148595337e-07
0.232,1.1810453236829,300.00000029611,9.922656029802e-07
0.236,1.1852347066529,300.00000030173,9.9212362900116e-07
0.24,1.1894689522684,300.00000030736,9.9197343972823e-07
0.244,1.1937477856474,300.00000031301,9.9183062754317e-07
0.248,1.1980728495154,300.00000031868,9.916795063836e-07
0.252,1.2024438709914,300.00000032437,9.9153596442724e-07
0.256,1.2068624808612,300.00000033008,9.9138373135071e-07
0.26,1.2113284424346,300.00000033581,9.9123931822234e-07
0.264,1.2158435830803,300.00000034157,9.910864265389e-07
0.268,1.2204073806929,300.00000034734,9.9094082652007e-07
0.272,1.2250219891952,300.00000035313,9.9078730318068e-07
0.276,1.2296867658163,300.00000035895,9.9064062745665e-07
0.28,1.2344039344085,300.00000036478,9.9048626643361e-07
0.284,1.239172872361,300.00000037064,9.9033859416881e-07
0.288,1.2439958485804,300.00000037652,9.9018335516629e-07
0.292,1.2488722635589,300.00000038242,9.9003471043529e-07
0.296,1.2538044368042,300.00000038834,9.8987857675841e-07
0.3,1.2587917874636,300.00000039429,9.897289660515e-07
0.304,1.2638361482286,300.00000040025,9.8957768090662e-07
0.308,1.2689390660729,300.00000040625,9.8941689485926e-07
0.312,1.2740996462737,300.00000041226,9.8926655534997e-07
0.316,1.2793205991749,300.0000004183,9.8910812136768e-07
0.32,1.2846013476075,300.00000042436,9.8895615303106e-07
0.324,1.2899446024339,300.00000043045,9.8879642147265e-07
0.328,1.2953496385729,300.00000043656,9.8864355981643e-07
0.332,1.3008186510841,300.0000004427,9.8848966559134e-07
0.336,1.3063533908424,300.00000044886,9.8832515786878e-07
0.34,1.3119528235522,300.00000045504,9.8817178917389e-07
0.344,1.3176201292715,300.00000046125,9.8800943507058e-07
0.348,1.323354529839,300.00000046749,9.8785445373369e-07
0.352,1.3291593724782,300.00000047376,9.8769223492836e-07
0.356,1.3350338251313,300.00000048005,9.8753515530639e-07
0.36,1.3409808611812,300.00000048636,9.8737236845303e-07
0.364,1.3470000609524,300.00000049271,9.872139718285e-07
0.368,1.3530943803354,300.00000049908,9.8705017658342e-07
0.372,1.3592634567703,300.00000050548,9.8689067270384e-07
