time,amplitude,fluxintegral,power
0,0,0.90903992603697,0
0.1,1,0.90903992603697,0.99994391864067
0.2,1.0030810796044,0.9120387460651,1.0047531365565
0.3,1.0134805478582,0.92210190211991,1.0156649696347
0.4,1.0345106481193,0.94254535687943,1.0381113152539
0.5,1.0721861435893,0.97928763215001,1.0786186967495
0.6,1.1378183732856,1.0434071976064,1.1497879611641
0.7,1.2147406313226,1.1181286438766,1.2215716603198
0.8,1.2862682048952,1.187989712709,1.299321272239
0.9,1.3531986566541,1.2535930854997,1.3722805001627
1,1.416360256016,1.3156398292862,1.4412062861014
1.1,1.4455186081495,1.3450881284831,1.4635332458754
1.2,1.4276721752265,1.3296704762741,1.4533714718002
1.3,1.3785285390621,1.2839716595015,1.4092477472553
1.4,1.3144582372213,1.2234397855374,1.3470028957251
1.5,1.2483290394652,1.1603693374515,1.279944997356
1.6,1.1880439680946,1.102427860002,1.2169209042128
1.7,1.1370905267404,1.0531064356164,1.1623903838783
1.8,1.1021897890129,1.0190412326509,1.1270079312735
1.9,1.0822913677902,0.99925471376257,1.1026198024801
2,1.0708600877391,0.98766635297095,1.0884089797101

