time,fluxintegral,power
0.016,81.087123847711,1.4987766155651
0.032,93.354922958744,1.7264572138514
0.048,98.230221960152,1.816931189939
0.064,100.21806331001,1.8538158882218
0.08,101.0774571366,1.8697574069097
0.096,101.49589941043,1.8775151742362
0.112,101.74210263764,1.8820762990657
0.128,101.9210951764,1.8853900313852
0.144,102.07392826346,1.8882182523017
0.16,102.21664721731,1.890858751251
0.176,102.35552361349,1.8934279241029
0.192,102.49300888993,1.8959712677492
0.208,102.63006135654,1.8985065677107
0.224,102.76705572345,1.9010407783202
0.24,102.90413859695,1.9035766204693
0.256,103.04136742749,1.906115160382
0.272,103.17876481841,1.9086568175447
0.288,103.31633975316,1.9112017586693
0.304,103.45409589169,1.9137500516668
0.32,103.59203481374,1.9163017258412
0.336,103.73015728601,1.918856795407
0.352,103.86846375762,1.9214152686848
0.368,104.00695455383,1.923977151696
0.384,104.14562995156,1.9265424495655
0.4,104.28449020926,1.9291111670746
0.416,104.42353557807,1.9316833088697
0.432,104.56276630674,1.9342588795522
0.448,104.70218264308,1.9368378837061
0.464,104.8417848349,1.9394203259161
0.48,104.98157312984,1.9420062107626
0.496,105.12154777671,1.9445955428487
0.5,105.15655805767,1.9452431825459

