time,amplitude,avg_temp,power
0,0,300,0
0.002,1.0001944769335,300.0000000012,9.998061933112e-07
0.004,1.0006986737787,300.00000000239,9.9990845647243e-07
0.006,1.0014209290243,300.00000000478,9.9985025635718e-07
0.008,1.0022975554065,300.00000000718,9.9979136778846e-07
0.01,1.0032833207439,300.00000000958,9.9973034073301e-07
0.012,1.0043473300083,300.00000001198,9.9966974959933e-07
0.014,1.0054673853599,300.00000001438,9.9960791764561e-07
0.016,1.0066286005197,300.00000001678,9.9954674998665e-07
0.018,1.0078199629767,300.00000001919,9.994843501814e-07
0.02,1.0090344028841,300.0000000216,9.9942279880471e-07
0.022,1.0102663639618,300.00000002401,9.9936004090631e-07
0.024,1.0115125844442,300.00000002643,9.9929823213717e-07
0.026,1.0127701768771,300.00000002884,9.9923519088353e-07
0.028,1.0140377389545,300.00000003126,9.9917317860868e-07
0.03,1.015313690842,300.00000003369,9.9910989299501e-07
0.032,1.0165975389004,300.00000003611,9.9904770015503e-07
0.034,1.017888346209,300.00000003854,9.9898419311045e-07
0.036,1.0191860631073,300.00000004098,9.9892182726901e-07
0.038,1.0204900730849,300.00000004341,9.988581089433e-07
0.04,1.0218005316833,300.00000004585,9.9879557971972e-07
0.042,1.0231169957407,300.00000004829,9.9873166744837e-07
0.044,1.0244397196552,300.00000005074,9.9866895448875e-07
0.046,1.0257683418076,300.00000005318,9.9860485430889e-07
0.048,1.0271031596056,300.00000005563,9.9854193232937e-07
0.05,1.0284438637493,300.00000005809,9.9847766636152e-07
0.052,1.0297907691114,300.00000006054,9.9841456247086e-07
0.054,1.0311435893717,300.000000063,9.9835011163591e-07
0.056,1.0325026502234,300.00000006547,9.9828682583817e-07
0.058,1.0338676779,300.00000006793,9.9822218694411e-07
0.06,1.0352390024541,300.0000000704,9.9815871851228e-07
0.062,1.0366163579501,300.00000007287,9.9809389068887e-07
0.064,1.0380000756713,300.00000007535,9.9803023847172e-07
0.066,1.0393898951044,300.00000007783,9.9796570070628e-07
0.068,1.0407861454087,300.00000008031,9.9790138210576e-07
0.07,1.0421885753023,300.00000008279,9.9783665160892e-07
0.072,1.0435975074638,300.00000008528,9.9777214533044e-07
0.074,1.0450126987807,300.00000008777,9.9770723162908e-07
0.076,1.0464344663726,300.00000009027,9.9764253314236e-07
0.078,1.0478625741977,300.00000009276,9.9757743474751e-07
0.08,1.0492973342841,300.00000009526,9.9751254370175e-07
0.082,1.0507385172878,300.00000009777,9.9744725948469e-07
0.084,1.0521864301701,300.00000010028,9.9738217511361e-07
0.086,1.0536408490788,300.00000010279,9.9731676251496e-07
0.088,1.0551020797052,300.0000001053,9.9725141387143e-07
0.09,1.0565699037874,300.00000010782,9.9718586861372e-07
0.092,1.058044608399,300.00000011034,9.9712026332965e-07
0.094,1.0595260044532,300.00000011286,9.9705402909498e-07
0.096,1.061014362709,300.00000011539,9.9698874088635e-07
0.098,1.0625094987255,300.00000011792,9.9692286221221e-07
0.1,1.0640116786172,300.00000012045,9.9685683836688e-07
0.102,1.0655207299528,300.00000012299,9.9679077799308e-07
0.104,1.0670369077244,300.00000012553,9.9672454267411e-07
0.106,1.0685600509214,300.00000012808,9.966583040936e-07
0.108,1.0700904048722,300.00000013062,9.9659186059817e-07
0.11,1.0716278194415,300.00000013318,9.9652543912443e-07
0.112,1.0731725307553,300.00000013573,9.964587899795e-07
0.114,1.0747243994165,300.00000013829,9.9639218292232e-07
0.116,1.076283652441,300.00000014085,9.9632532890477e-07
0.118,1.0778501611586,300.00000014342,9.9625853459185e-07
0.12,1.0794241434832,300.00000014599,9.9619147566361e-07
0.122,1.0810054815114,300.00000014856,9.961244929151e-07
0.124,1.0825943840292,300.00000015113,9.9605722865941e-07
0.126,1.084190743967,300.00000015371,9.9599005651717e-07
0.128,1.0857947609412,300.0000001563,9.9592258635468e-07
0.13,1.087406338797,300.00000015889,9.9585522394381e-07
0.132,1.0890256679313,300.00000016148,9.957875472404e-07
0.134,1.0906526631925,300.00000016407,9.9571999369966e-07
0.136,1.0922875057053,300.00000016667,9.9565210981958e-07
0.138,1.0939301214114,300.00000016927,9.9558436426736e-07
0.14,1.0955806821119,300.00000017188,9.9551627259766e-07
0.142,1.0972391249318,300.00000017449,9.9544833411652e-07
0.144,1.0989056122987,300.0000001771,9.9538003407727e-07
0.146,1.1005800926094,300.00000017972,9.9531190170812e-07
0.148,1.1022627188721,300.00000018234,9.9524399377255e-07
0.15,1.1039534480169,300.00000018496,9.9517506781289e-07
0.152,1.1056524301258,300.00000018759,9.9510696845865e-07
0.154,1.1073596271431,300.00000019022,9.950378227451e-07
0.156,1.1090751867265,300.00000019286,9.9496953046712e-07
0.158,1.1107990736014,300.0000001955,9.9490017139912e-07
0.16,1.1125314345877,300.00000019814,9.9483168260827e-07
0.162,1.1142722371976,300.00000020079,9.9476211180643e-07
0.164,1.1160216276837,300.00000020344,9.9469342471748e-07
0.166,1.117779576085,300.0000002061,9.9462364245192e-07
0.168,1.1195462281769,300.00000020876,9.9455475546563e-07
0.17,1.1213215567331,300.00000021142,9.9448476159789e-07
0.172,1.123105706945,300.00000021409,9.944156734066e-07
0.174,1.124898654395,300.00000021676,9.9434546758949e-07
0.176,1.1267005436415,300.00000021944,9.9427617708424e-07
0.178,1.1285113531713,300.00000022212,9.942057588198e-07
0.18,1.1303312268551,300.0000002248,9.9413626499425e-07
0.182,1.1321601461911,300.00000022749,9.9406563369024e-07
0.184,1.1339982543024,300.00000023018,9.9399593559841e-07
0.186,1.1358455358126,300.00000023288,9.9392509060117e-07
