time,fluxintegral,power
0,0.90903992603697,0
0.05,0.90903992603697,0.99994391864067
0.1,0.90903992603697,0.99994391864067
0.15,0.90984051834718,1.0008245701819
0.2,0.91175709500289,1.0029328045032
0.25,0.9150751378442,1.0065826516286
0.3,0.92015360762217,1.0121689683844
0.35,0.92743655380509,1.0201802091856
0.4,0.93746220427476,1.0312084247022
0.45,0.9508938211228,1.0459832032351
0.5,0.96857812802035,1.0654359408224
0.55,0.99163654239482,1.0908001966343
0.6,1.0216009291891,1.123761022108
0.65,1.0545210903128,1.1599731993441
0.7,1.0885690076302,1.1974259083932
0.75,1.1227930507948,1.2350723558743
0.8,1.1566777003423,1.2723454703766
0.85,1.1899516476228,1.3089468123851
0.9,1.2224869002297,1.3447355902527
0.95,1.2542401090633,1.3796641199696
1,1.2852173046201,1.4137390350821
1.05,1.3090221207681,1.4399243328449
1.1,1.3232218236413,1.4555440060055
1.15,1.327272036426,1.4599992400686
1.2,1.3217164324424,1.4538880756866
1.25,1.3077692371386,1.4385461608524
1.3,1.2870265696497,1.4157292266147
1.35,1.2612398054038,1.3873637859442
1.4,1.2321376531926,1.3553514185119
1.45,1.20129614448,1.321425758928
1.5,1.1700555557139,1.2870611112853
1.55,1.1394798979109,1.253427887702
1.6,1.1103514462703,1.2213865908973
1.65,1.0831910132546,1.19151011458
1.7,1.0582944524432,1.1641238976875
1.75,1.0377607152475,1.1415367867722
1.8,1.021510212611,1.1236612338721
1.85,1.0088807227731,1.1097687950504
1.9,0.9991540659051,1.0990694724956
1.95,0.99170567274431,1.0908762400187
2,0.98602951987019,1.0846324718572

