time,avg_temp,power
0,300,0
0.0005,300.0000000003,1.0000106332174e-06
0.001,300.0000000009,1.0000423302583e-06
0.0015,300.00000000149,1.0000941619196e-06
0.002,300.00000000209,1.0001651660759e-06
0.0025,300.00000000269,1.0002541260048e-06
0.003,300.00000000329,1.0003597918315e-06
0.0035,300.00000000389,1.0004809571499e-06
0.004,300.00000000448,1.0006164379296e-06
0.0045,300.00000000508,1.0007651274811e-06
0.005,300.00000000568,1.0009259722121e-06
0.0055,300.00000000628,1.001098001475e-06
0.006,300.00000000688,1.0012803049152e-06
0.0065,300.00000000748,1.0014720510714e-06
0.007,300.00000000807,1.0016724652616e-06
0.0075,300.00000000867,1.0018808439981e-06
0.008,300.00000000927,1.0020965333431e-06
0.0085,300.00000000987,1.00231894194e-06
0.009,300.00000001047,1.0025475200686e-06
0.0095,300.00000001107,1.0027817724444e-06
0.01,300.00000001167,1.0030212379249e-06
0.0105,300.00000001227,1.0032655024836e-06
0.011,300.00000001287,1.0035141796761e-06
0.0115,300.00000001347,1.0037669238062e-06
0.012,300.00000001407,1.0040234111454e-06
0.0125,300.00000001467,1.0042833532697e-06
0.013,300.00000001527,1.0045464789912e-06
0.0135,300.00000001587,1.004812547809e-06
0.014,300.00000001647,1.0050813325007e-06
0.0145,300.00000001707,1.0053526326313e-06
0.015,300.00000001767,1.0056262577481e-06
0.0155,300.00000001827,1.0059020408984e-06
0.016,300.00000001887,1.0061798223754e-06
0.0165,300.00000001947,1.0064594632004e-06
0.017,300.00000002008,1.0067408293736e-06
0.0175,300.00000002068,1.0070238052871e-06
0.018,300.00000002128,1.0073082784369e-06
0.0185,300.00000002188,1.0075941527381e-06
0.019,300.00000002248,1.0078813336637e-06
0.0195,300.00000002309,1.0081697414386e-06
0.02,300.00000002369,1.0084592965716e-06
0.0205,300.00000002429,1.0087499329121e-06
0.021,300.0000000249,1.0090415835486e-06
0.0215,300.0000000255,1.009334193711e-06
0.022,300.0000000261,1.0096277070149e-06
0.0225,300.00000002671,1.009922078197e-06
0.023,300.00000002731,1.0102172596834e-06
0.0235,300.00000002791,1.0105132141516e-06
0.024,300.00000002852,1.0108099014049e-06
0.0245,300.00000002912,1.0111072907531e-06
0.025,300.00000002973,1.0114053481773e-06
0.0255,300.00000003033,1.0117040485269e-06
0.026,300.00000003094,1.0120033629586e-06
0.0265,300.00000003154,1.0123032709469e-06
0.027,300.00000003215,1.0126037479873e-06
0.0275,300.00000003275,1.0129047774148e-06
0.028,300.00000003336,1.0132063383631e-06
0.0285,300.00000003396,1.0135084173896e-06
0.029,300.00000003457,1.0138109966805e-06
0.0295,300.00000003517,1.0141140654814e-06
0.03,300.00000003578,1.0144176085408e-06
0.0305,300.00000003639,1.0147216173465e-06
0.031,300.00000003699,1.0150260788003e-06
0.0315,300.0000000376,1.0153309862582e-06
0.032,300.00000003821,1.0156363284315e-06
0.0325,300.00000003881,1.0159421002341e-06
0.033,300.00000003942,1.0162482918989e-06
0.0335,300.00000004003,1.0165548996364e-06
0.034,300.00000004064,1.0168619149625e-06
0.0345,300.00000004124,1.0171693351648e-06
0.035,300.00000004185,1.0174771528415e-06
0.0355,300.00000004246,1.0177853661752e-06
0.036,300.00000004307,1.0180939686769e-06
0.0365,300.00000004368,1.0184029592734e-06
0.037,300.00000004429,1.0187123322473e-06
0.0375,300.0000000449,1.0190220871404e-06
0.038,300.0000000455,1.0193322188897e-06
