time,amplitude,avg_temp,power
0,0,300,0
0.01,1.0038934392612,300.00000000597,9.9733056161661e-07
0.02,1.0107365988961,300.00000001799,9.9915316416651e-07
0.03,1.0182369027799,300.00000003011,9.9867340386749e-07
0.04,1.0260012444244,300.00000004231,9.9826040879114e-07
0.05,1.0339645703831,300.0000000546,9.9783880040865e-07
0.06,1.0421268281562,300.00000006697,9.9741592255077e-07
0.07,1.0504899746529,300.00000007945,9.9698953732191e-07
0.08,1.0590627318646,300.00000009202,9.9656076518986e-07
0.09,1.0678502545626,300.00000010468,9.9612852272804e-07
0.1,1.0768618672386,300.00000011745,9.9569412407527e-07
0.11,1.0861037915218,300.00000013032,9.9525589496122e-07
0.12,1.0955858435776,300.0000001433,9.9481577278881e-07
0.13,1.1053152375096,300.00000015638,9.9437154618476e-07
0.14,1.1153024408081,300.00000016958,9.9392552613833e-07
0.15,1.1255556790124,300.00000018289,9.9347524454539e-07
0.16,1.1360863194577,300.00000019631,9.9302321525169e-07
0.17,1.1469035506785,300.00000020986,9.9256678637665e-07
0.18,1.1580197828256,300.00000022353,9.9210858827208e-07
0.19,1.169445410191,300.00000023733,9.9164594622245e-07
0.2,1.1811939152337,300.00000025126,9.9118145802572e-07
0.21,1.1932768475788,300.00000026532,9.9071367190997e-07
0.22,1.2057096286558,300.00000027953,9.9024223533969e-07
0.23,1.2185051217565,300.00000029387,9.8976596120467e-07
0.24,1.2316792657581,300.00000030836,9.8928889248224e-07
0.25,1.2452475448887,300.00000032301,9.8880673201019e-07
0.26,1.2592276415446,300.00000033781,9.8832301676557e-07
0.27,1.2736367781019,300.00000035276,9.8783430791891e-07
0.28,1.2884945337963,300.00000036789,9.87343797228e-07
0.29,1.3038205320711,300.00000038318,9.8684844996008e-07
0.3,1.3196364619075,300.00000039865,9.8635102640758e-07
0.31,1.335964701663,300.00000041431,9.858489416266e-07
0.32,1.3528293822699,300.00000043015,9.8534448468591e-07
0.33,1.3702557777167,300.00000044618,9.8483527272654e-07
0.34,1.3882719133128,300.00000046242,9.8432399452392e-07
0.35,1.4069048877557,300.00000047886,9.8380944626177e-07
0.36,1.4261885265608,300.00000049551,9.8328923874593e-07
0.37,1.4461516947269,300.00000051239,9.827660675666e-07
0.38,1.4668341798099,300.0000005295,9.8224024780818e-07
0.39,1.4882682771905,300.00000054684,9.8170959168471e-07
0.4,1.5104994999593,300.00000056443,9.8117642921985e-07
0.41,1.5335654940733,300.00000058228,9.806383462135e-07
0.42,1.5575176288223,300.00000060039,9.8009771760416e-07
0.43,1.5824000953029,300.00000061878,9.7955209190124e-07
0.44,1.6082713479336,300.00000063746,9.7900389946612e-07
0.45,1.6351832576801,300.00000065643,9.7845062651051e-07
0.46,1.6632027856543,300.00000067572,9.7789474934438e-07
0.47,1.6923910127289,300.00000069532,9.7733373945505e-07
0.48,1.7228251533284,300.00000071527,9.7677005827211e-07
0.49,1.7545773525742,300.00000073557,9.762028869097e-07
0.5,1.7877381820609,300.00000075623,9.7562967559607e-07
0.51,1.8223905563575,300.00000077727,9.7505474194849e-07
0.52,1.8586430886425,300.00000079872,9.7447334147569e-07
0.53,1.8965932491949,300.00000082059,9.738883553193e-07
0.54,1.9363681364115,300.00000084289,9.7330075557353e-07
0.55,1.9780883216764,300.00000086566,9.7270772866487e-07
0.56,2.0219009191995,300.0000008889,9.7211189532323e-07
0.57,2.0679527664119,300.00000091266,9.7151068073953e-07
0.58,2.1164190286194,300.00000093695,9.7090659324594e-07
0.59,2.1674785723957,300.0000009618,9.7029711629123e-07
0.6,2.2213422502116,300.00000098724,9.6968469946291e-07
0.61,2.2782289141199,300.00000101331,9.6906690828331e-07
0.62,2.3383951272146,300.00000104004,9.6844611967215e-07
0.63,2.4021104754504,300.00000106747,9.6781996644997e-07
0.64,2.4696903523617,300.00000109564,9.671907958474e-07
0.65,2.5414697793305,300.0000011246,9.6655626666661e-07
0.66,2.6178404038108,300.00000115439,9.6591871086016e-07
0.67,2.6992227799187,300.00000118508,9.6527583152609e-07
0.68,2.7861085396446,300.00000121671,9.6462993258037e-07
0.69,2.8790314755192,300.00000124936,9.6398080865317e-07
0.7,2.9786181841529,300.00000128309,9.6332479103626e-07
0.71,3.0855489230167,300.00000131799,9.6266715003614e-07
0.72,3.2006334007009,300.00000135414,9.62003148984e-07
0.73,3.3247575007096,300.00000139164,9.6133756258619e-07
0.74,3.4589770147995,300.0000014306,9.6066554001293e-07
0.75,3.6044616868409,300.00000147113,9.5999237706263e-07
0.76,3.7626104506156,300.00000151338,9.5931252935976e-07
0.77,3.9349929536368,300.00000155749,9.586296049238e-07
0.78,4.1234897926572,300.00000160363,9.5794464018281e-07
0.79,4.3302546151032,300.000001652,9.5725499893598e-07
0.8,4.5578604498203,300.00000170281,9.5656328991824e-07
0.81,4.8093073361677,300.00000175633,9.5587120115944e-07
0.82,5.0882046853849,300.00000181283,9.5516992161556e-07
0.83,5.3988041082918,300.00000187264,9.544685925248e-07
0.84,5.746283491791,300.00000193616,9.5376566972001e-07
0.85,6.1368440402839,300.00000200384,9.5306004543864e-07
0.86,6.5780848923182,300.00000207619,9.5235370286723e-07
0.87,7.0792674244765,300.00000215384,9.5164528120461e-07
0.88,7.6518822007265,300.00000223753,9.5093662444913e-07
0.89,8.3101549377307,300.00000232813,9.5022716886861e-07
0.9,9.0720039663693,300.00000242671,9.4951852105113e-07
0.91,9.9599975033798,300.00000253454,9.4881024259117e-07
0.92,11.003023062765,300.00000265322,9.4810405458615e-07
0.93,12.238186015102,300.00000278467,9.4739981017866e-07
0.94,13.713857608495,300.00000293132,9.4669911381895e-07
0.95,15.493462712903,300.0000030962,9.4600161675341e-07
0.96,17.661395817433,300.00000328318,9.4531029110779e-07
0.97,20.330897545402,300.00000349723,9.446233639283e-07
0.98,23.656095825425,300.00000374478,9.4394494730057e-07
0.99,27.848961893681,300.00000403432,9.4327320211313e-07
1,33.205477659787,300.00000437715,9.4260948032747e-07
1.01,40.143742604513,300.00000478852,9.4195500115253e-07
1.02,49.263740624504,300.00000528931,9.4131034392605e-07
1.03,61.438610233489,300.00000590854,9.4067510240768e-07
1.04,77.959412491586,300.00000668718,9.4005111721021e-07
1.05,100.76509555398,300.00000768398,9.3943581085073e-07
1.06,132.81795439907,300.00000898465,9.3883143883903e-07
1.07,178.72027275601,300.00001071646,9.3823398212162e-07
1.08,245.75469744056,300.00001307179,9.3764798102972e-07
1.09,345.65268534748,300.00001634711,9.3706591660728e-07
1.1,497.68532840138,300.00002100815,9.3649380801441e-07
1.11,734.11860649458,300.00002780152,9.3592433601644e-07
1.12,1110.0910789164,300.00003794908,9.3536122614566e-07
1.13,1721.7701324755,300.00005349361,9.3480013314399e-07
1.14,2740.4894693002,300.00007792555,9.3424349584433e-07
1.15,4478.1381719744,300.00011734408,9.336876103032e-07
1.16,7515.2186660145,300.0001826529,9.3313502917089e-07
1.17,12956.754864281,300.00029380563,9.3258237182489e-07
1.18,22955.381984339,300.00048819528,9.3203232715349e-07
1.19,41803.677339701,300.00083761515,9.3148178829793e-07
1.2,78268.703504926,300.00148333951,9.3093350535271e-07
1.21,150694.33171575,300.00271041094,9.3038457440395e-07
1.22,298420.81036328,300.00510871617,9.2983779390795e-07
1.23,607942.92717193,300.00993080853,9.2929041034915e-07
1.24,1274293.5507454,300.01990635812,9.2874536469779e-07
1.25,2748521.1012197,300.04114223336,9.2820023700856e-07
1.26,6100511.7362947,300.08766506712,9.276586412032e-07
1.27,13931396.139772,300.19254518613,9.2711977030343e-07
1.28,32711646.31492,300.43574638818,9.2659107208434e-07
1.29,78830559.669924,301.015084977,9.2608131518988e-07
1.3,194048122.39631,302.42803675123,9.2562203173119e-07
1.31,482082562.70268,305.92599825048,9.2528506133622e-07
1.32,1173667997.8308,314.53150070576,9.2522209038668e-07
1.33,2622074807.625,334.5750679492,9.2576222839449e-07
1.34,4779489553.9633,374.88705023211,9.2726653609849e-07
1.35,6218157921.9213,436.76144378622,9.2964448010895e-07
1.36,5501947221.5212,503.15876560536,9.3204467051355e-07
1.37,3591463432.7357,553.73576062559,9.3361779741839e-07
1.38,1983699028.6812,584.11098323826,9.3429010035709e-07
1.39,1046090364.582,600.43847868475,9.3442963504845e-07
1.4,577735643.52955,609.17889659914,9.3437904437395e-07
1.41,358118188.6533,614.24513647677,9.3428252334557e-07
1.42,257824926.92483,617.60979795748,9.3415517073843e-07
1.43,212958927.95831,620.20340774196,9.3392143692187e-07
1.44,193811423.80879,622.45724279556,9.3356631331117e-07
1.45,186774092.33749,624.57239524237,9.3311758913499e-07
1.46,185613774.03365,626.64461210884,9.3261455935811e-07
1.47,187431149.70898,628.72111993655,9.3208107385972e-07
1.48,190876998.65413,630.82655981226,9.3153332196318e-07
1.49,195304852.40776,632.97494292232,9.3097758017378e-07
1.5,200420429.28444,635.17527530971,9.304150334559e-07
1.51,206082672.36214,637.43422912106,9.2985270336313e-07
1.52,212244459.43894,639.75748755421,9.2928557874179e-07
1.53,218888442.0355,642.1503773857,9.287195799434e-07
1.54,226032834.58278,644.61824910667,9.2815311345305e-07

