time,amplitude,fluxintegral,power
0.025,1,52.261587622721,0.96309365979838
0.05,1.0511177109715,55.667693566018,1.0263656251052
0.075,1.1232031141589,59.879126594381,1.1045888019941
0.1,1.2068994251942,64.760447626275,1.1952555493232
0.125,1.3049917001125,70.555414706055,1.3028923038955
0.15,1.4214224117668,77.539150790242,1.4326094946527
0.175,1.5616864013053,86.105087226298,1.5917152455341
0.2,1.7336378332412,96.834864587807,1.7910138992733
0.225,1.948862321917,101.29008179483,1.8736882783907
0.25,2.0421488150543,102.41303610364,1.8945159454047
0.275,2.0542800591118,102.26328450753,1.8917238704566
0.3,2.0592458638248,102.44413166977,1.8950673305756
0.325,2.0635926514265,102.65472764704,1.8989628841844
0.35,2.0678972850051,102.86843477572,1.9029161483972
0.375,2.072206674119,103.08280369459,1.9068816677826
0.4,2.0765247115789,103.29763747219,1.9108557874625
0.425,2.0808517226552,103.5129203617,1.9148382151439
0.45,2.0851877494724,103.72865195545,1.918828943207
0.475,2.089532812622,103.9448330866,1.9228279870575
0.5,2.0938869310772,104.16146468426,1.9268353638827

