time,CR_Boron,IntegratedPower,ScaledTotalPower,avg_Tfuel,max_Tfuel
0,0.00067000000000002,0,910,300,300
0.01,0.00067000000000002,4.5500176398083,910.0035286534,300.00000376599,300.00000660152
0.02,0.00067000000000002,13.650074316064,910.00769138483,300.00000776004,300.00001343111
0.03,0.00067000000000002,22.750169945534,910.01132973056,299.99997377212,299.99998227875
0.04,0.00067000000000002,31.85029941021,910.01460747365,299.99990524242,299.99991658461
0.05,0.00067000000000002,40.950461698186,910.0178092694,299.99985130696,299.99986548473
0.06,0.00065883564683333,50.050653085601,910.01812978037,299.99978390424,299.99980091759
0.07,0.00064767129366666,59.157237590112,911.31324228215,299.99964494896,299.99966479971
0.08,0.00063650694050001,68.288626144313,914.96300627021,300.00438098753,300.004403683
0.09,0.00062534258733333,77.467306042412,920.76835981533,300.00861408134,300.008639636
0.1,0.00061417823416667,86.714335531019,928.63576524299,300.01128713187,300.01131556661
0.11,0.00060301388099999,96.04982821289,938.46100472942,300.01335798968,300.01338933164
0.12,0.00059184952783333,105.4930470947,950.18127260894,300.01483723982,300.01487152205
0.13,0.00058068517466666,115.06267071079,963.74209335666,300.01582320737,300.01586046869
0.14,0.0005695208215,124.77696449992,979.11527366914,300.0163735027,300.01641378755
0.15,0.00055835646833333,134.65396984276,996.28448805709,300.01648825077,300.01653160915
0.16,0.00054719211516664,144.71166178564,1015.2526278235,300.01622261686,300.01626910431
0.17,0.00053602776200002,154.96811074551,1036.0358574229,300.01557605115,300.01562572877
0.18,0.00052486340883333,165.44163124741,1058.6670112911,300.01457638208,300.01462931663
0.19,0.00051369905566667,176.15092673537,1083.1908109548,300.01325687074,300.01331313472
0.2,0.0005025347025,187.11522560753,1109.6677058519,300.01162266468,300.01168233653
0.21,0.00049137034933333,198.35442733033,1138.171350938,300.00969732627,300.00976049053
0.22,0.00048020599616666,209.88924353951,1168.7905436843,300.00749154583,300.00755829345
0.23,0.000469041643,221.7413457417,1201.6284896609,300.00500925039,300.00507967899
0.24,0.00045787728983333,233.93351863518,1236.8043445189,300.0022557131,300.0023299273
0.25,0.00044671293666667,246.4898163563,1274.4535826684,299.99916872839,299.99924684023
0.26,0.0004355485835,259.43573966414,1314.7293412652,299.99580551318,299.99588764252
0.27,0.00042438423033333,272.79841250811,1357.8033527546,299.99216251333,299.99224878839
0.28,0.00041321987716665,286.60677687792,1403.8677841762,299.9882349663,299.98832552424
0.29,0.000402055524,300.89181048255,1453.136719215,299.98408104525,299.98417603275
0.3,0.00039089117083333,315.68674873014,1505.8484918036,299.97962493052,299.97972450448
0.31,0.00037972681766667,331.02734556954,1562.2681894619,299.97485397785,299.97495830618
0.32,0.00036856246449999,346.9521520191,1622.6901143209,299.96975456618,299.96986382864
0.33,0.00035739811133333,363.50282512058,1687.4411928164,299.96430815776,299.96442254694
0.34,0.00034623375816666,380.72447075935,1756.8842508991,299.95849694909,299.95861667144
0.35,0.00033506940499999,398.66602472663,1831.4224390263,299.95230158706,299.95242686409
0.36,0.00032390505183333,417.38067761295,1911.5035464059,299.94570135413,299.94583242372
0.37,0.00031274069866667,436.92634965041,1997.625710942,299.9386719827,299.93880910048
0.38,0.0003015763455,457.36622274978,2090.3431228251,299.9311870066,299.93133044773
0.39,0.00029041199233333,478.76933777214,2190.2733803454,299.92321811132,299.9233681721
0.4,0.00027924763916667,501.21126528176,2298.1051594315,299.91473647105,299.91489347114
0.41,0.000268083286,524.77486857681,2414.6069398805,299.90575876834,299.90592305285
0.42,0.00025691893283334,549.55114275446,2540.6385484946,299.89616312168,299.89633506366
0.43,0.00024575457966667,575.64020089358,2677.1624202271,299.88595238553,299.88613238884
0.44,0.0002345902265,603.15235763844,2825.2572635703,299.87507965336,299.8752681558
0.45,0.00022342587333333,632.20938155913,2986.1338356435,299.86355016832,299.86374764515
0.46,0.00021226152016667,662.94589727969,3161.1531510477,299.85127715269,299.85148412045
0.47,0.000201097167,695.51099709676,3351.849471469,299.83815818163,299.83837520289
0.48,0.00018993281383333,730.07010113434,3559.9509331416,299.82424242629,299.82447011445
0.49,0.00017876846066667,766.8070275182,3787.41092259,299.80942733527,299.80966636023
0.5,0.0001676041075,805.92641711748,4036.4389689024,299.79365185195,299.79390294652
0.51,0.00015643975433333,847.65647441164,4309.5414002462,299.7767679935,299.77703196071
0.52,0.00014527540116666,892.25216811537,4609.5628162511,299.75879122885,299.75906895011
0.53,0.000134111048,939.99887156258,4939.7366904249,299.73973890315,299.74003134774
0.54,0.00012294669483333,991.21653773752,5303.7488046081,299.71945640686,299.71976464242
0.55,0.00011178234166666,1046.2645892805,5705.8061396864,299.69786061678,299.69818582151
0.56,0.0001006179885,1105.5475409104,6150.7198509384,299.67486804168,299.6752115182
0.57,8.9453635333329e-05,1169.5215263763,6644.0023387308,299.65039031386,299.65075350513
0.58,7.8289282166668e-05,1238.7018810648,7191.9812098008,299.62433436506,299.62471887257
0.59,6.7124929000002e-05,1313.6719693565,7801.9342956213,299.59660175391,299.59700935866
0.6,5.5960575833332e-05,1395.0934811644,8482.2483976653,299.56708913063,299.56752181721
0.61,4.4796222666666e-05,1483.7184653093,9242.6079607556,299.53568723519,299.53614721962
0.62,3.3631869499999e-05,1580.4034219004,10094.218110778,299.50228136553,299.50277112745
0.63,2.2467516333334e-05,1686.1258386124,11050.070444701,299.46675061402,299.46727293393
0.64,1.1303163166666e-05,1802.0036359183,12125.258889093,299.42896852442,299.42952652695
0.65,1.3881000000001e-07,1929.31807921,13337.35731277,299.38880175582,299.38939896007
0.66,1.3881000000001e-07,2069.5408348753,14706.911268646,299.34611084305,299.34675122129
0.67,1.3881000000001e-07,2224.2364462445,16233.011355189,299.30086108925,299.30154909892
0.68,1.3881000000001e-07,2394.952951521,17910.237764302,299.27498087834,299.27572149773
0.69,1.3881000000001e-07,2583.2754764781,19754.128644244,299.2506524966,299.2514511577
0.7,1.3881000000001e-07,2790.9518630797,21780.992083459,299.22646442586,299.22732709781
0.71,1.3881000000001e-07,3019.9047944996,24009.419299665,299.20234510199,299.203278347
0.72,1.3881000000001e-07,3272.2505566382,26459.541792135,299.17825502386,299.17926605741
0.73,1.3881000000001e-07,3550.3179773524,29153.730306948,299.15420469461,299.15530145117
0.74,1.3881000000001e-07,3856.6702697138,32116.495501975,299.13017535926,299.13136656456
0.75,1.3881000000001e-07,4194.1286007312,35374.913366348,299.10617249655,299.10746774748
0.76,1.3881000000001e-07,4565.7983324481,38958.750136314,299.08218378446,299.08359363667
0.77,1.3881000000001e-07,4975.0977998248,42900.830884049,299.05821242269,299.05974848752
0.78,1.3881000000001e-07,5425.7900983021,47237.285171633,299.03425050093,299.03592555173
0.79,1.3881000000001e-07,5922.01807683,52007.931159636,299.01030092691,299.0121290166
0.8,1.3881000000001e-07,6468.3429323434,57256.622215485,298.98635839336,298.98835498365
0.81,1.3881000000001e-07,7069.7867640922,63031.683044038,298.96242452612,298.96460663006
0.82,1.3881000000001e-07,7731.8794759359,69386.351630484,298.93849592274,298.94088226155
0.83,1.3881000000001e-07,8460.7104807715,76379.289339301,298.91457545208,298.91718662829
0.84,1.3881000000001e-07,9262.9857089213,84075.138926438,298.89066202907,298.893520717
0.85,1.3881000000001e-07,10146.090478243,92545.139527506,298.86675730027,298.86988845613
0.86,1.3881000000001e-07,11118.158912203,101867.79751931,298.84288068168,298.84631177526
0.87,1.3881000000001e-07,12188.150213743,112129.63513348,298.81901793267,298.82277920215
0.88,1.3881000000001e-07,13365.933068317,123426.02062152,298.79516938867,298.79929412185
0.89,1.3881000000001e-07,14662.378551275,135862.06872727,298.77133253041,298.77585737491
0.9,1.3881000000001e-07,16089.46274286,149553.65354846,298.74751663782,298.7524819428
0.91,1.3881000000001e-07,17660.379683664,164628.50851197,298.72371593724,298.7291661299
0.92,1.3881000000001e-07,19389.666247293,181227.45257029,298.69994576716,298.70592976821
0.93,1.3881000000001e-07,21293.339605541,199505.72792004,298.67621354737,298.68278522891
0.94,1.3881000000001e-07,23389.04895478,219634.49988279,298.65252573136,298.65974442165
0.95,1.3881000000001e-07,25696.242954763,241802.4860813,298.62889394982,298.63682498982
0.96,1.3881000000001e-07,28236.354267743,266217.77617242,298.60532311597,298.61403847293
0.97,1.3881000000001e-07,31033.003296538,293109.82211337,298.58182375775,298.59140270197
0.98,1.3881000000001e-07,34112.222853001,322731.65341519,298.5584057342,298.56893558516
0.99,1.3881000000001e-07,37502.70600462,355362.290299,298.53508048976,298.54665743899
1,1.3881000000001e-07,41236.079535289,391309.45237752,298.51186178604,298.52459180454
1.01,1.3881000000001e-07,45347.205622995,430912.49223303,298.48876466893,298.50276450786
1.02,1.3881000000001e-07,49874.514526397,474545.68158217,298.46580283925,298.48120113332
1.03,1.3881000000001e-07,54860.371817891,522621.79820057,298.44299703143,298.45993551623
1.04,1.3881000000001e-07,60351.483286751,575596.10676832,298.42036749655,298.43900235061
1.05,1.3881000000001e-07,66399.341664951,633970.72839538,298.39793634481,298.41843966976
1.06,1.3881000000001e-07,73060.719426525,698299.48361158,298.37572839227,298.39828984536
1.07,1.3881000000001e-07,80398.212301472,769193.20326788,298.35377015335,298.37859874768
1.08,1.3881000000001e-07,88480.838777482,847325.60747385,298.3320923377,298.35941842762
1.09,1.3881000000001e-07,97384.701411644,933439.76187377,298.31073128612,298.34080875689
1.1,1.3881000000001e-07,107193.71579638,1028355.2092933,298.28972095211,298.32282963361
1.11,1.3881000000001e-07,118000.41436636,1132975.8116758,298.26909745656,298.30554578542
1.12,1.3881000000001e-07,129906.83349976,1248298.4171011,298.24891176189,298.28903971779
1.13,1.3881000000001e-07,143025.48998423,1375422.3119336,298.22920890483,298.27339124566
1.14,1.3881000000001e-07,157480.45851656,1515559.7528026,298.21004543311,298.25869526347
1.15,1.3881000000001e-07,173408.55845065,1670047.4115678,298.19148163768,298.24505434133
1.16,1.3881000000001e-07,190960.66143383,1840359.0663757,298.17358383616,298.23258141058
1.17,1.3881000000001e-07,210303.13179905,2028119.4653123,298.15642522356,298.22140105655
1.18,1.3881000000001e-07,231619.41264798,2235119.6036419,298.14008648574,298.21165061851
1.19,1.3881000000001e-07,255111.77188899,2463333.4352299,298.12465666469,298.20348158969
1.2,1.3881000000001e-07,281003.22361059,2714936.2304582,298.11023392524,298.19706097173
1.21,1.3881000000001e-07,309539.64161251,2992324.6475385,298.09692655109,298.1925729163
1.22,1.3881000000001e-07,340992.08321077,3298138.7190104,298.08485388713,298.19022037602
1.23,1.3881000000001e-07,375659.34296817,3635285.8474623,298.07414754352,298.19022708593
1.24,1.3881000000001e-07,413870.75744762,4006967.0170492,298.06495256878,298.19283958855
1.25,1.3881000000001e-07,455989.28373166,4416705.3331185,298.05742884046,298.19832955769
1.26,1.3881000000001e-07,502414.87594734,4868377.0870491,298.05175249133,298.2069962454
1.27,1.3881000000001e-07,553588.18565888,5366245.4621129,298.04811759139,298.21916927956
1.28,1.3881000000001e-07,609994.61345023,5914997.068746,298.04673787563,298.2352116092
1.29,1.3881000000001e-07,672168.7405324,6519781.4128635,298.04784869854,298.25552278612
1.3,1.3881000000001e-07,740699.17040587,7186253.4422882,298.05170911667,298.28054249147
1.31,1.3881000000001e-07,816233.81167837,7920619.2291966,298.05860422702,298.31075444287
1.32,1.3881000000001e-07,899485.63379579,8729684.8744397,298.06884763384,298.34669056163
1.33,1.3881000000001e-07,991238.92774845,9620908.5983081,298.0827841764,298.38893553976
