time,fluxintegral,power
0.004,49.796274123463,0.91729526134885
0.008,50.137622125292,0.92364016618837
0.012,50.55153474765,0.9313309553607
0.016,51.010821452756,0.93986343235381
0.02,51.500556893703,0.94896085353361
0.024,52.012588258911,0.95847205469517
0.028,52.542525101683,0.96831563531553
0.032,53.088079333532,0.97844917866668
0.036,53.648146145739,0.98885221005006
0.04,54.222293334156,0.99951672760641
0.044,54.810476643572,1.0104419240228
0.048,55.412880701876,1.0216312369875
0.052,56.029830032752,1.0330906990955
0.056,56.661739341602,1.0448280160039
0.06,57.309085920448,1.0568520547486
0.064,57.972394577869,1.0691725643241
0.068,58.652229713386,1.081800028753
0.072,59.349191506921,1.0947455964691
0.076,60.06391451216,1.1080210542836
0.08,60.797067687567,1.121638828017
0.084,61.54935531886,1.1356119996659
0.088,62.321518524614,1.14995433539
0.092,63.114337174883,1.1646803211635
0.096,63.928632130569,1.1798052043796
0.1,64.765267757399,1.1953450405546
0.104,65.625154696079,1.2113167447891
0.108,66.509252885944,1.2277381479368
0.112,67.41857484955,1.2446280576215
0.116,68.354189255316,1.2620063244175
0.12,69.317224777403,1.279893913553
0.124,70.308874276753,1.2983129825793
0.128,71.330399337796,1.3172869656452
0.132,72.38313518583,1.3368406648467
0.136,73.468496028718,1.3570003494558
0.14,74.587980861112,1.3777938637438
0.144,75.743179778818,1.3992507442808
0.148,76.935780855773,1.4214023476867
0.152,78.167577638813,1.4442819898599
0.156,79.440477328119,1.4679250979431
0.16,80.756509715428,1.4923693763667
0.164,82.117836958527,1.5176549884283
0.168,83.526764287772,1.5438247551869
0.172,84.985751742355,1.5709243734865
0.176,86.497427055828,1.5990026553312
0.18,88.064599818862,1.6281117909871
0.184,89.690277066651,1.6583076385516
0.188,91.377680456037,1.6896500430558
0.192,93.130265223994,1.7222031886601
0.196,94.95174113683,1.7560359878335
0.2,96.846095673286,1.7912225120345
0.204,98.209881865717,1.8165323862474
0.208,99.200541588226,1.8349162890757
0.212,99.923106054951,1.8483244699863
0.216,100.45272022963,1.8581516387407
0.22,100.84344997326,1.8654012206056
0.224,101.13421145008,1.8707954693347
0.228,101.35301713568,1.8748542744699
0.232,101.52003091184,1.877951861804
0.236,101.64976710547,1.8803576058312
0.24,101.75267339213,1.8822654071953
0.244,101.8362701985,1.883814839102
0.248,101.90597086446,1.8851063688827
0.252,101.96567201087,1.8862123147565
0.256,102.01817849688,1.8871847327035
0.26,102.06550931176,1.8880610935769
0.264,102.10911776149,1.8888683695928
0.268,102.15004996306,1.8896259758597
0.272,102.18905893139,1.8903478877422
0.276,102.22668670129,1.8910441649798
0.28,102.26332344026,1.8917220487746
0.284,102.29924999897,1.8923867514938
0.288,102.33466853986,1.893042025113
0.292,102.36972458417,1.8936905703919
0.296,102.40452288177,1.8943343314054
0.3,102.43913883457,1.8949747075536
0.304,102.4736267193,1.8956127061695
0.308,102.50802560637,1.8962490523692
0.312,102.54236362046,1.8968842681241
0.316,102.57666100724,1.8975187291781
0.32,102.61093234102,1.8981527060183
0.324,102.64518811369,1.8987863933659
0.328,102.67943587856,1.899419931404
0.332,102.71368107371,1.9000534210591
0.336,102.74792761463,1.9006869349994
0.34,102.78217832085,1.9013205255525
0.344,102.81643522294,1.9019542304045
0.348,102.85069978363,1.902588076702
0.352,102.88497305689,1.9032220840057
0.356,102.91925580245,1.9038562664153
0.36,102.95354856823,1.9044906340994
0.364,102.9878517497,1.9051251943978
0.368,103.02216563263,1.9057599526134
0.372,103.05649042374,1.906394912583
0.376,103.09082627293,1.9070300770881
0.38,103.12517328916,1.907665448151
0.384,103.15953155193,1.9083010272465
0.388,103.19390111953,1.9089368154565
0.392,103.22828203499,1.9095728135793
0.396,103.26267433036,1.9102090222094
0.4,103.29707802979,1.9108454417947
0.404,103.33149315169,1.911482072677
0.408,103.36591971044,1.9121189151226
0.412,103.40035771742,1.9127559693426
0.416,103.4348071819,1.9133932355089
0.42,103.46926811165,1.9140307137653
0.424,103.50374051328,1.9146684042345
0.428,103.53822439269,1.9153063070254
0.432,103.57271975516,1.9159444222359
0.436,103.60722660556,1.9165827499565
0.44,103.64174494849,1.9172212902718
0.444,103.67627478832,1.9178600432631
0.448,103.71081612928,1.9184990090083
0.452,103.74536897547,1.9191381875835
0.456,103.77993333093,1.9197775790636
0.46,103.81450919966,1.9204171835221
0.464,103.84909658558,1.9210570010322
0.468,103.88369549262,1.921697031666
0.472,103.91830592466,1.9223372754955
0.476,103.95292788559,1.9229777325927
0.48,103.98756137928,1.9236184030291
0.484,104.02220640957,1.924259286876
0.488,104.05686298034,1.9249003842048
0.492,104.09153109545,1.9255416950871
0.496,104.12621075874,1.9261832195939
0.5,104.16090197407,1.9268249577967

