time,amplitude,avg_temp,power
0,0,300,0
0.01,1.0038968899037,300.00000000597,9.9724534779988e-07
0.02,1.0107383023664,300.00000001203,9.9900750369464e-07
0.03,1.0182409991359,300.00000002415,9.9852885106109e-07
0.04,1.0260045549315,300.00000003635,9.9811655608999e-07
0.05,1.0339687882877,300.00000004864,9.9769394276359e-07
0.06,1.0421304445573,300.00000006101,9.9727155608409e-07
0.07,1.0504944158846,300.00000007349,9.9684454748351e-07
0.08,1.0590666129908,300.00000008605,9.9641593982891e-07
0.09,1.0678549316542,300.00000009872,9.9598387302585e-07
0.1,1.0768660464846,300.00000011148,9.9554911827501e-07
0.11,1.0861087349681,300.00000012435,9.9511158593591e-07
0.12,1.0955902930256,300.00000013733,9.9467086547248e-07
0.13,1.1053204114144,300.00000015041,9.9422758979596e-07
0.14,1.1153072282381,300.0000001636,9.9378092252291e-07
0.15,1.1255611792569,300.00000017691,9.9333174346807e-07
0.16,1.1360914359627,300.00000019034,9.9287903278234e-07
0.17,1.1469093889736,300.00000020389,9.9242384491045e-07
0.18,1.1580252778003,300.00000021756,9.9196501733138e-07
0.19,1.169451618568,300.00000023135,9.9150374839206e-07
0.2,1.1811997670397,300.00000024528,9.9103884793986e-07
0.21,1.1932836094187,300.00000025934,9.9057114979035e-07
0.22,1.2057159992533,300.00000027355,9.9009998415375e-07
0.23,1.2185119446362,300.00000028789,9.8962596907732e-07
0.24,1.231686092909,300.00000030238,9.8914841887157e-07
0.25,1.2452549551889,300.00000031702,9.8866792956938e-07
0.26,1.2592350654343,300.00000033182,9.8818388223832e-07
0.27,1.2736447321484,300.00000034678,9.8769684146602e-07
0.28,1.2885026057065,300.0000003619,9.8720615904009e-07
0.29,1.3038291027178,300.00000037719,9.8671248514405e-07
0.3,1.3196452674846,300.00000039266,9.8621514033182e-07
0.31,1.3359739753307,300.00000040831,9.8571470222631e-07
0.32,1.3528390229347,300.00000042415,9.8521055380988e-07
0.33,1.3702661507832,300.00000044018,9.8470325693839e-07
0.34,1.3882823329907,300.00000045642,9.8419218567262e-07
0.35,1.4069166608257,300.00000047285,9.8367808008108e-07
0.36,1.42619973799,300.00000048951,9.8315990599924e-07
0.37,1.4461647041013,300.00000050638,9.8263866469101e-07
0.38,1.4668464361774,300.00000052349,9.8211340418073e-07
0.39,1.4882825923872,300.00000054083,9.8158491256517e-07
