time,avg_temp,power
0,300,0
0.000125,300.00000000006,1.0000007004564e-06
0.00025,300.00000000021,9.3894670477716e-07
0.000375,300.00000000035,8.8380475398199e-07
0.0005,300.00000000047,8.3355044309496e-07
0.000625,300.00000000058,7.8783805804774e-07
0.00075,300.0000000007,7.4624579769315e-07
0.000875,300.0000000008,7.0839980960769e-07
0.001,300.0000000009,6.7395232890204e-07
0.001125,300.00000000099,6.4259818680962e-07
0.00125,300.00000000109,6.1405481732823e-07
0.001375,300.00000000118,5.8807332241242e-07
0.0015,300.00000000126,5.6442132134974e-07
0.001625,300.00000000134,5.4289400084645e-07
0.00175,300.00000000142,5.2329883331219e-07
0.001875,300.00000000149,5.0546649395545e-07
0.002,300.00000000156,4.8923694188448e-07
0.002125,300.00000000163,4.7446994883933e-07
0.00225,300.0000000017,4.6103230073567e-07
0.002375,300.00000000177,4.4880782960939e-07
0.0025,300.00000000183,4.376855963206e-07
0.002625,300.0000000019,4.275693965254e-07
0.00275,300.00000000196,4.1836682490284e-07
0.002875,300.00000000202,4.099982597326e-07
0.003,300.00000000208,4.0238672641553e-07
0.003125,300.00000000213,3.9546637915404e-07
0.00325,300.00000000219,3.8917309093786e-07
0.003375,300.00000000225,3.8345245707457e-07
0.0035,300.0000000023,3.782510454706e-07
0.003625,300.00000000236,3.7352394920404e-07
0.00375,300.00000000241,3.6922663683844e-07
0.003875,300.00000000247,3.6532208196178e-07
0.004,300.00000000252,3.6177315860561e-07
0.004125,300.00000000257,3.5854937551815e-07
0.00425,300.00000000262,3.5561976670305e-07
0.004375,300.00000000267,3.5295925727407e-07
0.0045,300.00000000273,3.5054200409503e-07
0.004625,300.00000000278,3.483474188545e-07
0.00475,300.00000000283,3.4635391798495e-07
0.004875,300.00000000288,3.4454462732617e-07
0.005,300.00000000293,3.4290150460647e-07
0.005125,300.00000000298,3.4141074842874e-07
0.00525,300.00000000303,3.4005726037799e-07
0.005375,300.00000000308,3.3882977947241e-07
0.0055,300.00000000313,3.3771565437654e-07
0.005625,300.00000000318,3.3670572300964e-07
0.00575,300.00000000323,3.3578936818116e-07
0.005875,300.00000000327,3.3495916049979e-07
0.006,300.00000000332,3.3420617376432e-07
0.006125,300.00000000337,3.3352440787221e-07
0.00625,300.00000000342,3.3290634247122e-07
0.006375,300.00000000347,3.3234715544114e-07
0.0065,300.00000000352,3.318404954727e-07
0.006625,300.00000000357,3.3138251034855e-07
0.00675,300.00000000361,3.3096782109142e-07
0.006875,300.00000000366,3.3059337323451e-07
0.007,300.00000000371,3.3025459685928e-07
0.007125,300.00000000376,3.2994909290209e-07
0.00725,300.00000000381,3.2967296485154e-07
0.007375,300.00000000385,3.2942435145613e-07
0.0075,300.0000000039,3.2919991703732e-07
0.007625,300.00000000395,3.2899824099931e-07
0.00775,300.000000004,3.2881645507132e-07
0.007875,300.00000000405,3.2865349915113e-07
0.008,300.00000000409,3.2850689476657e-07
0.008125,300.00000000414,3.2837587622181e-07
0.00825,300.00000000419,3.2825829041101e-07
0.008375,300.00000000424,3.2815361159384e-07
0.0085,300.00000000429,3.2805995856826e-07
0.008625,300.00000000433,3.2797700068438e-07
0.00875,300.00000000438,3.2790308422492e-07
0.008875,300.00000000443,3.2783803678496e-07
0.009,300.00000000448,3.2778039521843e-07
0.009125,300.00000000453,3.2773011501869e-07
0.00925,300.00000000457,3.2768589299211e-07
0.009375,300.00000000462,3.2764778767956e-07
0.0095,300.00000000467,3.2761463029017e-07
0.009625,300.00000000472,3.2758656206564e-07
0.00975,300.00000000476,3.2756252739932e-07
0.009875,300.00000000481,3.2754273352201e-07
0.01,300.00000000486,3.275262203617e-07
0.010125,300.00000000491,3.275132475445e-07
0.01025,300.00000000496,3.2750293577917e-07
0.010375,300.000000005,3.2749558593082e-07
0.0105,300.00000000505,3.2749038728233e-07
0.010625,300.0000000051,3.2748767284697e-07
0.01075,300.00000000515,3.2748669019582e-07
0.010875,300.00000000519,3.2748779717432e-07
0.011,300.00000000524,3.2749029110464e-07
0.011125,300.00000000529,3.2749454865872e-07
0.01125,300.00000000534,3.274999097335e-07
0.011375,300.00000000539,3.2750676499604e-07
0.0115,300.00000000543,3.2751449093575e-07
0.011625,300.00000000548,3.2752348835563e-07
0.01175,300.00000000553,3.275331652377e-07
0.011875,300.00000000558,3.2754392940645e-07
0.012,300.00000000562,3.2755521612839e-07
0.012125,300.00000000567,3.275674377441e-07
0.01225,300.00000000572,3.2758005323241e-07
0.012375,300.00000000577,3.2759347746268e-07
0.0125,300.00000000582,3.2760719009785e-07
0.012625,300.00000000586,3.276216070002e-07
0.01275,300.00000000591,3.2763622594657e-07
0.012875,300.00000000596,3.2765146257228e-07
0.013,300.00000000601,3.2766683056507e-07
0.013125,300.00000000606,3.2768274442603e-07
0.01325,300.0000000061,3.2769873191238e-07
0.013375,300.00000000615,3.2771520563017e-07
0.0135,300.0000000062,3.27731705828e-07
0.013625,300.00000000625,3.2774864274911e-07
0.01375,300.00000000629,3.2776556773493e-07
0.013875,300.00000000634,3.2778288821756e-07
0.014,300.00000000639,3.2780016549083e-07
0.014125,300.00000000644,3.278178039581e-07
0.01425,300.00000000649,3.2783537381616e-07
0.014375,300.00000000653,3.2785327622835e-07
0.0145,300.00000000658,3.2787108946083e-07
0.014625,300.00000000663,3.2788921135817e-07
0.01475,300.00000000668,3.2790722742791e-07
0.014875,300.00000000673,3.2792553213886e-07
0.015,300.00000000677,3.2794371764336e-07
0.015125,300.00000000682,3.279621750249e-07
0.01525,300.00000000687,3.27980502447e-07
0.015375,300.00000000692,3.2799908764759e-07
0.0155,300.00000000697,3.2801753429492e-07
0.015625,300.00000000701,3.2803622686107e-07
0.01575,300.00000000706,3.2805477403939e-07
0.015875,300.00000000711,3.2807355712236e-07
0.016,300.00000000716,3.2809218944755e-07
0.016125,300.0000000072,3.2811104917965e-07
0.01625,300.00000000725,3.2812975395193e-07
0.016375,300.0000000073,3.2814867892852e-07
0.0165,300.00000000735,3.2816744567986e-07
0.016625,300.0000000074,3.2818642649924e-07
0.01675,300.00000000744,3.2820524661824e-07
0.016875,300.00000000749,3.282242755669e-07
0.017,300.00000000754,3.2824314192486e-07
0.017125,300.00000000759,3.2826221261492e-07
0.01725,300.00000000764,3.2828111937872e-07
0.017375,300.00000000768,3.2830022657311e-07
0.0175,300.00000000773,3.2831916890391e-07
0.017625,300.00000000778,3.283383083077e-07
0.01775,300.00000000783,3.2835728222169e-07
0.017875,300.00000000788,3.2837645029591e-07
0.018,300.00000000792,3.2839545250912e-07
0.018125,300.00000000797,3.2841464632847e-07
0.01825,300.00000000802,3.2843367413953e-07
0.018375,300.00000000807,3.2845289132364e-07
0.0185,300.00000000811,3.2847194249574e-07
0.018625,300.00000000816,3.2849118106662e-07
0.01875,300.00000000821,3.2851025375453e-07
0.018875,300.00000000826,3.285295121031e-07
0.019,300.00000000831,3.2854860479327e-07
0.019125,300.00000000835,3.2856788158903e-07
0.01925,300.0000000084,3.2858699301813e-07
0.019375,300.00000000845,3.2860628716835e-07
0.0195,300.0000000085,3.2862541630205e-07
0.019625,300.00000000855,3.2864472692245e-07
0.01975,300.00000000859,3.2866387292723e-07
0.019875,300.00000000864,3.2868319928797e-07
0.02,300.00000000869,3.287023614526e-07
0.020125,300.00000000874,3.287217029452e-07
0.02025,300.00000000879,3.2874088068903e-07
0.020375,300.00000000883,3.287602368366e-07
0.0205,300.00000000888,3.2877942966557e-07
0.020625,300.00000000893,3.2879880005748e-07
0.02075,300.00000000898,3.2881800758205e-07
0.020875,300.00000000903,3.288373919019e-07
0.021,300.00000000907,3.2885661380883e-07
0.021125,300.00000000912,3.2887601178063e-07
0.02125,300.00000000917,3.2889524777958e-07
0.021375,300.00000000922,3.2891465918551e-07
0.0215,300.00000000927,3.289339090674e-07
0.021625,300.00000000931,3.2895333373743e-07
0.02175,300.00000000936,3.289725973189e-07
0.021875,300.00000000941,3.2899203511727e-07
0.022,300.00000000946,3.2901131224191e-07
0.022125,300.00000000951,3.2903076305176e-07
0.02225,300.00000000955,3.2905005360881e-07
0.022375,300.0000000096,3.2906951733932e-07
0.0225,300.00000000965,3.2908882120355e-07
0.022625,300.0000000097,3.2910829777982e-07
0.02275,300.00000000975,3.2912761488543e-07
0.022875,300.00000000979,3.2914710425403e-07
0.023,300.00000000984,3.2916643451653e-07
0.023125,300.00000000989,3.2918593663384e-07
0.02325,300.00000000994,3.2920527999488e-07
0.023375,300.00000000999,3.2922479481971e-07
0.0235,300.00000001004,3.2924415124288e-07
0.023625,300.00000001008,3.292636787722e-07
0.02375,300.00000001013,3.2928304822492e-07
0.023875,300.00000001018,3.293025884122e-07
0.024,300.00000001023,3.2932197086276e-07
0.024125,300.00000001028,3.2934152370317e-07
0.02425,300.00000001032,3.2936091912713e-07
0.024375,300.00000001037,3.2938048461916e-07
0.0245,300.00000001042,3.2939989298965e-07
0.024625,300.00000001047,3.2941947112137e-07
0.02475,300.00000001052,3.2943889242969e-07
0.024875,300.00000001056,3.2945848320833e-07
0.025,300.00000001061,3.2947791744084e-07
0.025125,300.00000001066,3.294975208707e-07
0.02525,300.00000001071,3.2951696801102e-07
0.025375,300.00000001076,3.2953658406488e-07
0.0255,300.0000000108,3.2955604411807e-07
