time,amplitude,fluxintegral,power
0.002,1,49.648328994873,0.91454437235905
0.004,1.0008501119494,49.749869190402,0.9164347373787
0.006,1.0030218891084,49.898435904728,0.91919722025332
0.008,1.0060947952002,50.079341345882,0.92255943594085
0.01,1.0097897887434,50.282850543726,0.92634086798467
0.012,1.0139206328993,50.502463608772,0.93042099241191
0.014,1.0183628458161,50.733834583917,0.93471922485493
0.016,1.0230331637703,50.974057004176,0.93918167263506
0.018,1.0278758897466,51.221188526955,0.94377232034111
0.02,1.0328537991924,51.473933847967,0.94846715038814
0.022,1.0379420705474,51.731432800059,0.9532502138759
0.024,1.0431242272876,51.993118491042,0.9581110001134
0.026,1.0483894200457,52.258622163737,0.96304267247548
0.028,1.0537306030795,52.527709279323,0.96804088321157
0.03,1.0591433086695,52.800236503461,0.97310297584382
0.032,1.0646248219814,53.076122710886,0.97822744750405
0.034,1.0701736246143,53.355329408187,0.98341358591013
0.036,1.075789018743,53.637847495469,0.98866122388359
0.038,1.0814708728578,53.923688301985,0.99397057311976
0.04,1.0872194495292,54.212877508743,0.99934211149165
0.042,1.0930352885993,54.505451024747,1.0047765065808
0.044,1.0989191278992,54.801452187723,1.0102745637687
0.046,1.1048718494177,55.10092986459,1.015837191013
0.048,1.1108944427662,55.403937164246,1.0214653749779
0.05,1.1169879804218,55.710530568069,1.0271601649115
0.052,1.1231536010056,56.020769345867,1.0329226618155
0.054,1.1293924980596,56.334715167592,1.038754011246
0.056,1.1357059125905,56.652431849513,1.0446553986079
0.058,1.1420951282068,56.973985193149,1.0506280461688
0.06,1.1485614680446,57.299442888504,1.0566732112659
0.062,1.1551062929336,57.628874462054,1.0627921853432
0.064,1.1617310004273,57.962351256145,1.0689862935704
0.066,1.168437024441,58.299946430656,1.0752568948752
0.068,1.1752258353206,58.641734980634,1.0816053822725
0.07,1.1820989402214,58.987793765603,1.0880331834087
0.072,1.1890578837127,59.338201547593,1.0945417612692
0.074,1.1961042485542,59.693039035878,1.1011326150095
0.076,1.2032396566011,60.052388937028,1.1078072808855
0.078,1.2104657698159,60.4163360094,1.1145673332656
0.08,1.2177842913657,60.784967121396,1.1214143857129
0.082,1.2251969667949,61.158371313135,1.1283500921313
0.084,1.2327055852653,61.536639861266,1.1353761479695
0.086,1.2403119808588,61.919866346781,1.1424942914805
0.088,1.2480180339403,62.308146725851,1.1497063050374
0.09,1.255825672579,62.70157940346,1.1570140165017
0.092,1.2637368740295,63.100265310073,1.1644193006471
0.094,1.2717536662711,63.504307981545,1.1719240806444
0.096,1.2798781296092,63.913813641747,1.1795303295956
0.098,1.2881123983379,64.32889128872,1.1872400721353
