time,amplitude,fluxintegral,power
0,0,0,0.98014615818634
1e-05,1.1560711569401,134.72627213251,1.0220782662251
2e-05,1.5253871121639,134.70928246021,1.0220341777083
3e-05,1.9826102773499,134.66116331902,1.0218284297823
4e-05,2.5484466677861,134.62361631446,1.0216669883961
5e-05,3.2486806276992,134.59517271428,1.0215446163194
6e-05,4.1152330373028,134.57337902039,1.0214508522063
7e-05,5.187607737916,134.55649533,1.0213782176017
8e-05,6.5146916067022,134.54330118685,1.0213214606307
9e-05,8.1569831117798,134.53291996759,1.0212768082707
0.0001,10.189350286041,134.52470818634,1.0212414908543
0.00011,12.70444378271,134.51818493058,1.0212134383519
0.00012,15.816920598765,134.51298561986,1.0211910817913
0.00013,19.668671015069,134.50883044828,1.0211732169302
0.00014,24.435287036988,134.50550263263,1.0211589108668
0.00015,30.334067216385,134.50283286514,1.0211474350235
0.00016,37.633922775795,134.5006880909,1.0211382169305
0.00017,46.667636631453,134.49896316414,1.0211308041749
0.00018,57.847034174872,134.49757467221,1.0211248379365
0.00019,71.681757412861,134.4964561941,1.0211200324897
0.0002,88.802498334299,134.49555469824,1.0211161597286
0.00021,109.98975065772,134.49482776112,1.0211130372381
0.00022,136.20939068339,134.49424136542,1.0211105187436
0.00023,168.65670929618,134.49376819257,1.0211084867657
0.00024,208.81090243379,134.49338628805,1.0211068469196
0.00025,258.502504111,134.49307799187,1.0211055233087
0.00026,319.996836111,134.49282907649,1.0211044547741
0.00027,396.09727861694,134.49262807576,1.0211035920258
0.00028,490.27306964591,134.49246574893,1.0211028953543
0.00029,606.81745935793,134.49233464747,1.02110233277
0.0003,751.04342911811,134.49222875261,1.0211018783969
0.00031,929.5258976791,134.49214321821,1.0211015114376
0.00032,1150.401456087,134.49207412113,1.0211012150221
0.00033,1423.7392955123,134.49201830512,1.0211009756143
0.00034,1762.000237724,134.49197321481,1.0211007822348
0.00035,2180.6047943123,134.49193678621,1.0211006260153
0.00036,2698.6361511317,134.49190735961,1.0211004998479
0.00037,3339.7101253505,134.49188359166,1.0211003979718
0.00038,4133.0517543793,134.4918643941,1.0211003157104
0.00039,5114.8275958083,134.49184889012,1.021100249303
0.0004,6329.7944747361,134.49183636087,1.021100195633
0.00041,7833.3398409636,134.49182624167,1.0211001523025
0.00042,9694.006751079,134.49181806566,1.0211001172955
0.00043,11996.618583362,134.49181146579,1.0211000890588
0.00044,14846.14593383,134.49180613973,1.021100066295
0.00045,18372.491976009,134.49180183853,1.0211000479203
0.00046,22736.414437612,134.49179836428,1.021100033083
0.00047,28136.854162944,134.49179555685,1.0211000210934
0.00048,34820.004352781,134.49179329351,1.0211000114443
0.00049,43090.533926752,134.4917914621,1.021100003629
0.0005,53325.476654669,134.49178998704,1.0210999973498
0.00051,65991.419229226,134.49178879295,1.02109999226
0.00052,81665.771843452,134.49178783538,1.021099988202
0.00053,101063.09094789,134.49178706164,1.0210999849237
0.00054,125067.65417945,134.49178643757,1.0210999822835
0.00055,154773.77247541,134.49178593606,1.0210999801709
0.00056,191535.67710605,134.49178553798,1.0210999785178
0.00057,237029.2558568,134.49178521508,1.0210999771735
0.00058,293328.45276594,134.4917849575,1.0210999761121
0.00059,362999.81430008,134.49178475493,1.0210999752966
0.0006,449219.49210229,134.49178459295,1.0210999746509
0.00061,555918.03619032,134.49178446367,1.0210999741414
0.00062,687959.57938237,134.49178436525,1.0210999737752
0.00063,851363.58154168,134.49178428654,1.0210999734859
0.00064,1053579.242433,134.49178422348,1.0210999732564
0.00065,1303825.0930203,134.49178417746,1.021099973108
0.00066,1613509.2463654,134.49178413812,1.0210999729723
0.00067,1996749.4663645,134.4917841042,1.0210999728465
0.00068,2471016.7630239,134.49178408318,1.0210999727927
0.00069,3057931.8542457,134.49178406483,1.0210999727394
0.0007,3784250.8029277,134.49178405259,1.0210999727158
0.00071,4683084.7622256,134.49178404316,1.0210999727003
0.00072,5795409.4342634,134.49178403871,1.0210999727116
0.00073,7171933.0549227,134.49178403799,1.0210999727426
0.00074,8875408.0616962,134.49178403984,1.0210999727861
0.00075,10983491.828039,134.4917840406,1.021099972816
0.00076,13592286.878302,134.49178404036,1.0210999728338
0.00077,16820721.973216,134.49178404491,1.0210999728836
0.00078,20815973.789196,134.49178404629,1.021099972907
0.00079,25760176.352915,134.49178405087,1.0210999729518
0.0008,31878724.098343,134.49178405501,1.0210999729915
0.00081,39450547.062834,134.49178406105,1.0210999730439
0.00082,48820826.644054,134.49178406411,1.0210999730728
0.00083,60416731.598776,134.49178407192,1.0210999731361
0.00084,74766891.650379,134.49178407653,1.0210999731748
0.00085,92525496.460456,134.4917840789,1.0210999731959
0.00086,114502118.57957,134.49178408288,1.0210999732283
0.00087,141698619.93368,134.49178408658,1.0210999732583
0.00088,175354824.32624,134.49178409015,1.0210999732869
0.00089,217005038.05678,134.49178409436,1.02109997332
0.0009,268547995.29468,134.49178409283,1.0210999733099
0.00091,332333416.85398,134.49178409231,1.0210999733067
0.00092,411269128.37548,134.49178408902,1.0210999732826
0.00093,508953621.181,134.49178408704,1.021099973268
0.00094,629840098.93289,134.49178408757,1.0210999732722
0.00095,779439488.59553,134.49178408591,1.0210999732601
0.00096,964571670.48741,134.49178408947,1.0210999732869
0.00097,1193676380.4024,134.49178409061,1.021099973296
0.00098,1477197957.0879,134.49178408768,1.0210999732743
0.00099,1828061474.8048,134.49178408565,1.021099973259
0.001,2262261966.7174,134.49178408766,1.021099973274

