time,CR_Boron,IntegratedPower,ScaledTotalPower,avg_Tfuel,max_Tfuel
0.77,1.3881e-07,4877.6345190924,41204.506430086,300.00201881433,300.00352186237
0.78,1.3881e-07,5309.956510053,45259.891762048,300.00219775126,300.00383380664
0.79,1.3881e-07,5784.7918454952,49707.175326396,300.0023942842,300.00417642388
0.8,1.3881e-07,6306.2490429561,54584.264165775,300.00261011362,300.00455267824
0.81,1.3881e-07,6878.8341034982,59932.747942641,300.00284710448,300.00496582071
0.82,1.3881e-07,7507.4889756516,65798.226488037,300.00310730219,300.0054194167
0.83,1.3881e-07,8197.6337107968,72230.720541006,300.00339295001,300.00591737659
0.84,1.3881e-07,8955.2126990983,79285.0771193,300.00370650823,300.00646398899
0.85,1.3881e-07,9786.7453063029,87021.444321618,300.00405067508,300.00706395731
0.86,1.3881e-07,10699.381522106,95505.798838948,300.00442840977,300.00772243987
0.87,1.3881e-07,11700.962915822,104810.47990429,300.00484295776,300.00844509389
0.88,1.3881e-07,12800.089451395,115014.82721036,300.00529787835,300.00923812365
0.89,1.3881e-07,14006.192798007,126205.84211204,300.00579707503,300.01010833337
0.9,1.3881e-07,15329.616685379,138478.93536242,300.00634482875,300.01106318517
0.91,1.3881e-07,16781.705022646,151938.73209088,300.00694583436,300.01211086261
0.92,1.3881e-07,18374.898516345,166699.96664903,300.0076052406,300.01326034034
0.93,1.3881e-07,20122.840604075,182888.45089679,300.00832869394,300.01452146052
0.94,1.3881e-07,22040.49360013,200642.14831421,300.0091223866,300.01590501652
0.95,1.3881e-07,24144.266030834,220112.33782676,300.00999310926,300.01742284476
0.96,1.3881e-07,26452.15223487,241464.90298028,300.01094830878,300.01908792531
0.97,1.3881e-07,28983.885400542,264881.73015416,300.01199615158,300.02091449223
0.98,1.3881e-07,31761.105327742,290562.25528587,300.01314559295,300.02291815447
0.99,1.3881e-07,34807.542323937,318725.14395303,300.01440645315,300.02511602841
1,1.3881e-07,38149.218771425,349610.14554462,300.01578950083,300.02752688312
1.01,1.3881e-07,41814.670056583,383480.11148709,300.01730654431,300.03017129952
1.02,1.3881e-07,45835.186700414,420623.21727914,300.0189705318,300.03307184484
1.03,1.3881e-07,50245.079707527,461355.38414338,300.02079566106,300.03625326374
1.04,1.3881e-07,55081.971334899,506022.9413311,300.02279749968,300.03974268772
1.05,1.3881e-07,60387.1136931,555005.53030906,300.02499311678,300.04356986458
1.06,1.3881e-07,66205.737810454,608719.2931616,300.0274012273,300.04776740967
1.07,1.3881e-07,72587.436031803,667620.35110822,300.0300423501,300.05237108115
1.08,1.3881e-07,79586.580888489,732208.62022908,300.03293898104,300.05742008143
1.09,1.3881e-07,87262.783861415,803031.97435616,300.03611578259,300.06295738719
1.1,1.3881e-07,95681.39776901,880690.80716275,300.03959979137,300.06903011077
1.11,1.3881e-07,104914.06684424,965843.00788299,300.04342064542,300.07568989559
1.12,1.3881e-07,115039.32893102,1059209.4094736,300.04761083291,300.08299334905
1.13,1.3881e-07,126143.27461899,1161579.7281191,300.05220596432,300.09100251611
1.14,1.3881e-07,138320.26855523,1273819.0591298,300.05724507023,300.09978539728
1.15,1.3881e-07,151673.73862947,1396874.9557189,300.06277092703,300.1094165152
1.16,1.3881e-07,166317.03920993,1531785.1603724,300.06883041318,300.11997753402
1.17,1.3881e-07,182374.39513105,1679686.0238509,300.0754748985,300.13155793633
1.18,1.3881e-07,199981.93368667,1841821.6872742,300.08276066986,300.14425576277
1.19,1.3881e-07,219288.81247553,2019554.070497,300.09074939596,300.15817841984
1.2,1.3881e-07,240458.45156799,2214373.7479949,300.09950863514,300.17344356174
1.21,1.3881e-07,263669.87912431,2427911.7632697,300.10911238955,300.19018005259
1.22,1.3881e-07,289119.20028409,2661952.4686861,300.11964170983,300.20852901601
1.23,1.3881e-07,317021.19986957,2918447.448411,300.13118535455,300.22864497903
1.24,1.3881e-07,347611.09018598,3199530.614871,300.14384050887,300.2506971183
1.25,1.3881e-07,381146.41597047,3507534.5420271,300.15771356734,300.27487061678
1.26,1.3881e-07,417909.12931307,3845008.1264929,300.1729209859,300.3013681394
1.27,1.3881e-07,458207.84814204,4214735.6393003,300.18959020854,300.3304114371
1.28,1.3881e-07,502380.31262354,4619757.2569991,300.20786067426,300.3622430885
1.29,1.3881e-07,550796.0545496,5063391.1282127,300.22788491019,300.39712838927
1.3,1.3881e-07,603859.29544843,5549257.0515546,300.24982971724,300.43535739936
1.31,1.3881e-07,662012.08973282,6081301.8053237,300.27387745425,300.47724715841
1.32,1.3881e-07,725737.72965471,6663826.1790528,300.30022742739,300.52314407986
1.33,1.3881e-07,795564.42912453,7301513.7149124,300.32909739097,300.57342653415
1.34,1.3881e-07,872069.30352634,7999461.1654495,300.36072516626,300.62850763103
1.35,1.3881e-07,955882.66244413,8763210.6181077,300.39537038421,300.68883821043
1.36,1.3881e-07,1047692.6316429,9598783.2216375,300.43331635805,300.75491005064
1.37,1.3881e-07,1148250.1196253,10512714.374859,300.47487209065,300.827259301
1.38,1.3881e-07,1258374.1424971,11512090.199491,300.52037442112,300.90647014462
1.39,1.3881e-07,1378957.5185997,12604585.02104,300.57019031367,300.99317869431
1.4,1.3881e-07,1510972.9412646,13798499.511925,300.62471929013,301.08807712178
1.41,1.3881e-07,1655479.4339152,15102799.018198,300.68439600581,301.19191801616
1.42,1.3881e-07,1813629.186421,16527151.48296,300.7496929655,301.3055189631
1.43,1.3881e-07,1986674.7648498,18081964.2028,300.82112337339,301.42976732946
1.44,1.3881e-07,2175976.6783117,19778418.489595,300.89924410669,301.56562523139
1.45,1.3881e-07,2383011.2761716,21628501.082384,300.9846587979,301.71413465429
1.46,1.3881e-07,2609378.9362174,23645030.926769,301.0780210049,301.87642268272
1.47,1.3881e-07,2856812.4890708,25841679.643918,301.18003744127,302.05370678546
1.48,1.3881e-07,3127185.8058428,28232983.710482,301.29147123065,302.24730008605
1.49,1.3881e-07,3422522.4544678,30834346.014517,301.41314514005,302.4586165319
1.5,1.3881e-07,3745004.3048694,33662024.065802,301.5459447353,302.68917585517
1.51,1.3881e-07,4096979.9338429,36733101.728888,301.69082138977,302.94060819613
1.52,1.3881e-07,4480972.6471034,40065440.923224,301.84879506259,303.2146582348
1.53,1.3881e-07,4899687.9011257,43677609.881236,302.02095674852,303.5131886906
1.54,1.3881e-07,5356019.8698044,47588783.854488,302.20847048543,303.83818283135
1.55,1.3881e-07,5853056.8284586,51818607.876361,302.412574776,304.19174590876
1.56,1.3881e-07,6394084.9929847,56387025.028864,302.6345832665,304.57610526931
1.57,1.3881e-07,6982590.4110363,61314058.581461,302.87588450997,304.99360862423
1.58,1.3881e-07,7622258.435563,66619546.323862,303.13794061538,305.44672029024
1.59,1.3881e-07,8316970.2649437,72322819.552286,303.42228456873,305.93801500945
1.6,1.3881e-07,9070795.9487881,78442317.216586,303.73051598087,306.47016891745
1.61,1.3881e-07,9887983.2174228,84995136.510363,304.0642950055,307.04594723716
1.62,1.3881e-07,10772941.509569,91996521.918888,304.42533418446,307.66818832287
1.63,1.3881e-07,11730220.476187,99459271.404647,304.81538794667,308.33978358704
1.64,1.3881e-07,12764482.29837,107393093.03195,305.23623952237,309.06365298012
1.65,1.3881e-07,13880467.151756,115803877.64534,305.68968504428,309.84271570294
1.66,1.3881e-07,15082951.105633,124692913.13001,306.17751460392,310.67985580327
1.67,1.3881e-07,16376696.014981,134056068.73962,306.70149015735,311.57788263584
1.68,1.3881e-07,17766391.068464,143882941.95707,307.263320234,312.5394861858
