time,amplitude,fluxintegral,power
0,0,0.90903992603697,0
0.1,1,0.90903992603697,0.99994391864067
0.2,1,0.9134119423043,1.0047531365347
0.3,1.004600406498,0.92418329906701,1.0166016289737
0.4,1.0157992309242,0.94506789312997,1.039574682443
0.5,1.037352614228,0.98225847493402,1.0804843224274
0.6,1.0755882522142,1.0474269589964,1.152169654896
0.7,1.1424901694581,1.1136187278096,1.2249806005905
0.8,1.2102624921812,1.1784244999824,1.2962669499806
0.9,1.276499166124,1.2409915010141,1.3650906511155
1,1.3403709149892,1.3011808941386,1.4312989835524
1.1,1.4017651036494,1.3202223385909,1.45224457245
1.2,1.4198379991837,1.3038336488163,1.434217013698
1.3,1.4010085318982,1.2632835165206,1.3896118681727
1.4,1.3573613742722,1.2103891091998,1.3314280201198
1.5,1.3013737372274,1.1546160569683,1.2700776626652
1.6,1.2429129969836,1.1021169435958,1.2123286379553
1.7,1.18829368445,1.0560304717083,1.1616335188791
1.8,1.140650065518,1.0258826621173,1.128470928329
1.9,1.1098554996482,1.0061654662519,1.1067820128771
2,1.0899353179853,0.99332878273285,1.0926616610061

