time,avg_power,avg_temp,int_power
0,0,300,0.99684246870747
0.01,7.5193314829584e-16,300.00000000596,1.0008525915527
0.02,7.5592110244994e-16,300.00000001794,1.0061607153657
0.03,7.6075084134003e-16,300.00000003,1.0125892877671
0.04,7.6580040409238e-16,300.00000004214,1.0193104543741
0.05,7.7098465710624e-16,300.00000005437,1.0262108990162
0.06,7.76294445039e-16,300.00000006667,1.0332784355722
0.07,7.8173180795325e-16,300.00000007907,1.0405157794457
0.08,7.8730059729017e-16,300.00000009155,1.0479280570564
0.09,7.9300509705961e-16,300.00000010412,1.0555209705898
0.1,7.98849825352e-16,300.00000011678,1.063300533802
0.11,8.0483951336315e-16,300.00000012954,1.0712730441007
0.12,8.1097911207859e-16,300.00000014239,1.0794450914423
0.13,8.1727380418567e-16,300.00000015534,1.0878235741876
0.14,8.2372901709862e-16,300.0000001684,1.0964157164382
0.15,8.3035043783786e-16,300.00000018156,1.1052290878421
0.16,8.3714402786541e-16,300.00000019482,1.1142716233396
0.17,8.441160399754e-16,300.00000020819,1.1235516456456
0.18,8.5127303585197e-16,300.00000022168,1.1330778886198
0.19,8.5862190511333e-16,300.00000023528,1.1428595226149
0.2,8.6616988571805e-16,300.000000249,1.1529061816385
0.21,8.7392458579997e-16,300.00000026284,1.1632279924158
0.22,8.818940075368e-16,300.00000027681,1.1738356061602
0.23,8.9008657214233e-16,300.0000002909,1.1847402318383
0.24,8.9851114779361e-16,300.00000030513,1.1959536733426
0.25,9.0717707866533e-16,300.00000031949,1.207488368137
0.26,9.1609421729013e-16,300.00000033399,1.2193574303301
0.27,9.2527295839772e-16,300.00000034864,1.2315746957157
0.28,9.3472427732372e-16,300.00000036344,1.2441547728973
0.29,9.4445976915846e-16,300.00000037838,1.257113095396
0.3,9.5449169306309e-16,300.00000039349,1.2704659806375
0.31,9.648330198207e-16,300.00000040875,1.2842306932442
0.32,9.7549748335495e-16,300.00000042419,1.2984255136086
0.33,9.8649963676112e-16,300.00000043979,1.3130698124728
0.34,9.9785491325179e-16,300.00000045557,1.3281841320497
0.35,1.0095796928185e-15,300.00000047154,1.3437902747522
0.36,1.021691374651e-15,300.0000004877,1.3599113995861
0.37,1.0342084564475e-15,300.00000050405,1.3765721277153
